1.4285714 21
0.0000000 1 2
0.0000000 2 2
0.0000000 3 2
0.0000000 4 2
0.0000000 5 2
0.0000000 6 2
0.0000000 7 1
0.0000000 8 1
0.0000000 9 1
0.0000000 5 0
0.0000000 7 0
1.4285714 3 0
1.4285714 1 0
1.4285714 2 0
1.4285714 3 0
1.4285714 4 0
1.4285714 5 0
1.4285714 6 0
1.4285714 7 0
1.4285714 8 0
1.4285714 9 0

0.5625000 58
0.0000000 1 1
0.0000000 2 1
0.0000000 3 3
0.0000000 4 10
0.0000000 5 3
0.0000000 6 8
0.0000000 7 4
0.0000000 8 9
0.0000000 9 9
0.0000000 10 6
0.0000000 11 7
0.0000000 12 4
0.0000000 13 6
0.0000000 14 4
0.0000000 15 3
0.0000000 16 10
0.0000000 17 5
0.0000000 18 1
0.0000000 19 4
0.0000000 20 4
0.0000000 5 0
0.0000000 16 0
0.0000000 20 0
0.0000000 2 0
0.0000000 6 0
0.0000000 7 0
0.0000000 8 0
0.0000000 18 0
0.0000000 19 0
0.0000000 4 8
0.0000000 13 5
0.0000000 15 2
0.5000000 9 0
0.5000000 10 0
0.5000000 17 0
0.5625000 4 3
0.5625000 13 2
0.5625000 15 0
0.5625000 1 0
0.5625000 2 0
0.5625000 3 0
0.5625000 4 0
0.5625000 5 0
0.5625000 6 0
0.5625000 7 0
0.5625000 8 0
0.5625000 9 0
0.5625000 10 0
0.5625000 11 0
0.5625000 12 0
0.5625000 13 0
0.5625000 14 0
0.5625000 15 0
0.5625000 16 0
0.5625000 17 0
0.5625000 18 0
0.5625000 19 0
0.5625000 20 0

9345.7943925 287
0.0000000 1 920
0.0000000 2 937
0.0000000 3 31
0.0000000 4 797
0.0000000 5 474
0.0000000 6 102
0.0000000 7 29
0.0000000 8 34
0.0000000 9 549
0.0000000 10 9
0.0000000 11 976
0.0000000 12 59
0.0000000 13 24
0.0000000 14 53
0.0000000 15 18
0.0000000 16 53
0.0000000 17 18
0.0000000 18 839
0.0000000 19 783
0.0000000 20 8
0.0000000 21 500
0.0000000 22 199
0.0000000 23 12
0.0000000 24 158
0.0000000 25 429
0.0000000 26 420
0.0000000 27 255
0.0000000 28 636
0.0000000 29 28
0.0000000 30 16
0.0000000 31 134
0.0000000 32 444
0.0000000 33 113
0.0000000 34 10
0.0000000 35 541
0.0000000 36 656
0.0000000 37 550
0.0000000 38 63
0.0000000 39 61
0.0000000 40 834
0.0000000 41 194
0.0000000 42 31
0.0000000 43 23
0.0000000 44 71
0.0000000 45 29
0.0000000 46 178
0.0000000 47 786
0.0000000 48 42
0.0000000 49 29
0.0000000 50 5
0.0000000 51 26
0.0000000 52 373
0.0000000 53 551
0.0000000 54 895
0.0000000 55 232
0.0000000 56 472
0.0000000 57 21
0.0000000 58 868
0.0000000 59 26
0.0000000 60 644
0.0000000 61 26
0.0000000 62 25
0.0000000 63 147
0.0000000 64 8
0.0000000 65 994
0.0000000 66 207
0.0000000 67 809
0.0000000 68 14
0.0000000 69 7
0.0000000 70 21
0.0000000 71 696
0.0000000 72 9
0.0000000 73 14
0.0000000 74 837
0.0000000 75 113
0.0000000 76 63
0.0000000 77 6
0.0000000 78 919
0.0000000 79 803
0.0000000 80 9
0.0000000 81 66
0.0000000 82 142
0.0000000 83 32
0.0000000 84 32
0.0000000 85 453
0.0000000 86 406
0.0000000 87 8
0.0000000 88 79
0.0000000 89 37
0.0000000 90 156
0.0000000 91 21
0.0000000 92 17
0.0000000 93 62
0.0000000 94 704
0.0000000 95 86
0.0000000 96 922
0.0000000 97 54
0.0000000 98 866
0.0000000 99 122
0.0000000 17 0
0.0000000 97 0
0.0000000 69 0
0.0000000 8 0
0.0000000 10 0
0.0000000 59 0
0.0000000 42 0
0.0000000 88 0
0.0000000 34 0
0.0000000 7 0
0.0000000 75 0
0.0000000 39 0
0.0000000 3 0
0.0000000 87 0
0.0000000 72 0
0.0000000 45 0
0.0000000 33 0
0.0000000 91 0
0.0000000 77 0
0.0000000 70 0
0.0000000 16 0
0.0000000 12 0
0.0000000 50 0
0.0000000 57 0
0.0000000 93 0
0.0000000 51 0
0.0000000 84 0
0.0000000 48 0
0.0000000 83 0
0.0000000 44 0
0.0000000 23 0
0.0000000 76 0
0.0000000 68 0
0.0000000 92 0
0.0000000 43 0
0.0000000 80 0
0.0000000 15 0
0.0000000 63 0
0.0000000 64 0
0.0000000 6 0
0.0000000 89 0
0.0000000 96 0
0.0000000 5 0
0.0000000 40 0
0.0000000 1 142
0.0000000 94 29
0.0000000 78 29
0.0000000 14 29
0.0000000 35 29
0.0000000 32 8
0.0000000 26 8
0.0000000 90 8
0.0000000 38 34
0.0000000 98 34
0.0000000 25 34
0.0000000 79 34
0.0000000 74 34
0.0000000 65 34
0.0000000 56 120
0.0000000 9 120
0.0000000 54 120
0.0000000 28 120
0.0000000 24 148
0.0000000 27 122
0.0000000 66 122
0.0000000 71 122
0.0000000 52 122
0.0000000 22 122
0.0000000 41 122
0.0000000 4 122
0.0000000 19 136
0.0000000 46 136
0.0000000 67 134
0.0000000 60 91
0.0000000 47 91
0.0000000 36 91
0.0000000 86 91
0.0000000 58 91
0.0000000 37 91
0.0000000 18 91
0.0000000 53 107
0.0000000 2 107
0.0000000 11 107
0.0000000 21 107
0.0000000 85 107
4310.3448276 55 0
7042.2535211 82 0
7042.2535211 1 0
9345.7943925 95 0
9345.7943925 1 0
9345.7943925 2 0
9345.7943925 3 0
9345.7943925 4 0
9345.7943925 5 0
9345.7943925 6 0
9345.7943925 7 0
9345.7943925 8 0
9345.7943925 9 0
9345.7943925 10 0
9345.7943925 11 0
9345.7943925 12 0
9345.7943925 13 0
9345.7943925 14 0
9345.7943925 15 0
9345.7943925 16 0
9345.7943925 17 0
9345.7943925 18 0
9345.7943925 19 0
9345.7943925 20 0
9345.7943925 21 0
9345.7943925 22 0
9345.7943925 23 0
9345.7943925 24 0
9345.7943925 25 0
9345.7943925 26 0
9345.7943925 27 0
9345.7943925 28 0
9345.7943925 29 0
