4
10000 10000
7898 7314 286260341
2801 5987 876170991
9073 8996 895614415
9480 605 980350432
5862 1069 747802126
2671 4623 730638472
6400 5714 945150893
7587 9926 826255693
932 1162 860941428
5332 2750 904704647
5821 4670 511171561
241 7375 958404503
4184 7317 862720635
5120 155 965588200
8640 9569 628891689
8075 1571 904602014
2307 3673 969340306
5544 9925 592146245
6958 8059 402880308
1823 9629 905404377
6070 3772 812792774
4012 8396 988217682
7160 6661 394016667
6680 7723 915919944
4622 8903 956107580
9544 2360 912337870
9737 6766 824000182
4500 8556 918405996
9749 5825 803358602
2841 6253 815357517
6919 1169 972533043
2641 8069 973301602
5217 3159 798696847
8575 5221 883530213
961 642 947286750
9608 8983 548974402
5205 1101 788736947
3569 3833 978515665
6335 4399 931203731
4765 4617 736467472
2257 3407 734646556
3066 5360 608063557
1533 7349 955026990
5728 9244 953956801
5688 6227 652765540
7500 5655 746153954
7501 4998 827049899
1306 7152 797703724
2594 7318 787634437
5618 9162 761399166
5608 1696 924873308
2109 6178 760822144
7532 2803 958748095
7370 2880 982035711
2286 6571 974999113
3858 7732 760700286
6673 461 473732333
9883 6824 552423099
6277 2955 570489883
7222 6099 729057292
2427 4223 586491504
2898 2584 498583296
8273 5631 821207772
4854 5282 939611036
6874 2309 510412600
4050 8051 789951293
8904 7332 848343427
577 2527 869638104
7388 1238 962754553
5517 4746 872924896
4474 293 543472929
2741 3714 916080910
4569 9590 805571042
8581 8481 503908410
4612 2081 869303370
1301 8742 932515470
5224 9576 735659701
8372 5750 982340575
8761 2802 991529791
3603 3029 535554490
41 9913 741443261
930 8909 912980704
7151 1433 953616905
135 5249 927726803
7150 7744 921877548
1241 3579 347447795
6458 8868 982303655
7586 599 473140948
8248 9154 658334654
5323 4896 659601211
8884 9008 894045538
7948 3448 380308051
13 7958 777970081
4226 9220 685872399
3746 6201 529920494
4864 3219 803534209
2266 5112 559473344
8203 5946 992691933
2713 567 795021398
5609 7444 537474331
561 4979 389689182
71 6087 489454832
1436 9693 897275205
4358 5090 971910659
4622 5306 898366770
9438 4363 698622780
3782 7385 853117422
4206 2677 516854235
5558 9156 893054199
5551 7592 902035621
437 6605 860605756
1157 6839 684251884
9236 2355 680799598
7822 4367 841698625
4393 8781 880767278
3290 4271 934237136
178 5825 704808291
5927 7852 955243654
446 4621 755955246
2654 5734 881367754
8452 1175 962833296
4698 8005 945866435
1759 7011 953789602
8871 7845 998366183
9790 4133 599014855
8090 7025 773972381
7259 6762 887082793
7160 4305 463550840
6321 8319 564164596
280 7639 946130742
9899 3828 827680864
4659 4833 934713610
5770 7852 960028509
8604 4657 770789513
437 8092 886538408
6961 1079 491171783
2968 69 740538593
